Student ID,Hostel,Year,Branch1,Branch2
439,AH7,3,ENI,NONE
440,AH7,3,ENI,NONE
441,AH2,3,EEE,NONE
442,AH2,3,EEE,NONE
443,AH2,3,EEE,NONE
444,AH2,3,EEE,NONE
445,AH3,3,EEE,NONE
446,AH3,3,EEE,NONE
447,AH3,3,EEE,NONE
448,AH3,3,EEE,NONE
449,AH3,3,EEE,NONE
450,AH3,3,EEE,NONE
451,AH3,3,EEE,NONE
452,AH3,3,EEE,NONE
453,AH3,3,EEE,NONE
454,AH3,3,EEE,NONE
455,AH3,3,EEE,NONE
456,AH3,3,EEE,NONE
457,AH3,3,EEE,NONE
458,AH3,3,EEE,NONE
459,AH3,3,EEE,NONE
460,AH3,3,EEE,NONE
461,AH3,3,EEE,NONE
462,AH4,3,EEE,NONE
463,AH4,3,EEE,NONE
464,AH4,3,EEE,NONE
465,AH4,3,EEE,NONE
466,AH4,3,EEE,NONE
467,AH4,3,EEE,NONE
468,AH4,3,EEE,NONE
469,AH4,3,EEE,NONE
470,AH4,3,EEE,NONE
471,AH4,3,EEE,NONE
472,AH4,3,EEE,NONE
473,AH4,3,EEE,NONE
474,AH4,3,EEE,NONE
475,AH5,3,EEE,NONE
476,AH5,3,EEE,NONE
477,AH5,3,EEE,NONE
478,AH5,3,EEE,NONE
479,AH5,3,EEE,NONE
480,AH5,3,EEE,NONE
481,AH5,3,EEE,NONE
482,AH5,3,EEE,NONE
483,AH5,3,EEE,NONE
484,AH5,3,EEE,NONE
485,AH5,3,EEE,NONE
486,AH7,3,EEE,NONE
487,AH7,3,EEE,NONE
488,AH7,3,EEE,NONE
489,AH7,3,EEE,NONE
490,AH7,3,EEE,NONE
491,AH7,3,EEE,NONE
492,AH7,3,EEE,NONE
493,AH7,3,EEE,NONE
494,AH7,3,EEE,NONE
495,AH7,3,EEE,NONE
496,AH7,3,EEE,NONE
497,AH7,3,EEE,NONE
498,AH7,3,EEE,NONE
499,AH7,3,EEE,NONE
500,CH4,3,EEE,NONE
501,CH4,3,EEE,NONE
502,CH4,3,EEE,NONE
503,CH4,3,EEE,NONE
504,CH4,3,EEE,NONE
505,CH4,3,EEE,NONE
506,CH4,3,EEE,NONE
507,CH6,3,EEE,NONE
508,CH6,3,EEE,NONE
509,AH5,3,EEE,NONE
510,AH7,3,EEE,NONE
511,AH4,3,EEE,NONE
512,AH2,3,CHE,NONE
513,AH2,3,CHE,NONE
514,AH2,3,CHE,NONE
515,AH3,3,CHE,NONE
516,AH3,3,CHE,NONE
517,AH3,3,CHE,NONE
518,AH3,3,CHE,NONE
519,AH3,3,CHE,NONE
520,AH3,3,CHE,NONE
521,AH3,3,CHE,NONE
522,AH3,3,CHE,NONE
523,AH3,3,CHE,NONE
524,AH3,3,CHE,NONE
525,AH3,3,CHE,NONE
526,AH4,3,CHE,NONE
527,AH4,3,CHE,NONE
528,AH4,3,CHE,NONE
529,AH4,3,CHE,NONE
530,AH4,3,CHE,NONE
531,AH4,3,CHE,NONE
532,AH4,3,CHE,NONE
533,AH4,3,CHE,NONE
534,AH5,3,CHE,NONE
535,AH5,3,CHE,NONE
536,AH5,3,CHE,NONE
537,AH7,3,CHE,NONE
538,AH7,3,CHE,NONE
539,AH7,3,CHE,NONE
540,AH7,3,CHE,NONE
541,CH4,3,CHE,NONE
542,CH4,3,CHE,NONE
543,CH4,3,CHE,NONE
544,CH4,3,CHE,NONE
545,CH4,3,CHE,NONE
546,CH5,3,CHE,NONE
547,CH5,3,CHE,NONE
548,CH5,3,CHE,NONE
549,CH6,3,CHE,NONE
550,CH6,3,CHE,NONE
551,AH2,2,CHE,NONE
552,AH2,2,CHE,NONE
553,AH2,2,CHE,NONE
554,AH3,2,CHE,NONE
555,AH4,2,CHE,NONE
556,AH5,2,CHE,NONE
557,AH5,2,CHE,NONE
558,AH6,2,CHE,NONE
559,AH6,2,CHE,NONE
560,AH6,2,CHE,NONE
